1003966;123456789;N101;14:21:0;13/11/2022;11:39:39;15/11/2022;45000000
1027443;123123123;M765;0:33:51;19/11/2022;0:34:4;19/11/2022;2000000
1022494;213132123123;N123;11:17:30;19/11/2022;11:17:41;19/11/2022;1000000
1004069;123456789;M100;8:12:13;3/12/2022;8:12:22;3/12/2022;2000000
1017965;123456789;M105;15:32:31;13/11/2022;8:16:0;3/12/2022;946000000
1015581;213123123;M237;12:43:56;26/11/2022;8:19:31;3/12/2022;82000000
1010691;213123123;M187;15:6:7;26/11/2022;8:20:38;3/12/2022;322000000
1005963;213123123;M207;8:21:52;3/12/2022;8:22:12;3/12/2022;500000
1007011;123456789;M103;8:27:11;3/12/2022;8:27:18;3/12/2022;2000000
1007139;123456789;M109;8:27:50;3/12/2022;8:27:54;3/12/2022;2000000
1007214;123456789;M100;8:28:15;3/12/2022;8:28:20;3/12/2022;2000000
1007292;123456789;M101;8:28:39;3/12/2022;8:28:46;3/12/2022;2000000
1007377;123456789;M100;8:29:4;3/12/2022;8:29:7;3/12/2022;2000000
1007442;123456789;M102;8:29:23;3/12/2022;8:29:26;3/12/2022;2000000
